Column1	Column2
Smile.	Hymy„!
Smile.	Hymyile!
Smile.	Hymyilk„„!
Attack!	Hy”kk„„!
Attack!	Hy”k„tk„„!
Cheers!	Kippis!
Cheers!	Kiitos!
Cheers!	Kiitti!
Cheers!	H”lkynk”lkyn!
Exhale.	Hengit„ ulos.
Exhale.	Hengitt„k„„ ulos.
Exhale.	Uloshengit„.
Exhale.	Uloshengitt„k„„.
Freeze!	Seis!
Freeze!	Liikkumatta!
Get up.	Nouse yl”s.
Go now.	Mene nyt.
Go now.	Menk„„ nyt.
Got it!	Tajusin!
Got it!	Selv„!
Got it?	Ymm„rsitk”?
Got it?	Tajusitko?
He ran.	H„n juoksi.
Hop in.	Hypp„„ sis„„n.
Hop in.	Liity mukaan.
Hug me.	Halaa minua.
I know.	Min„ tied„n.
I lost.	Min„ h„visin.
I lost.	H„visin.
I quit.	Min„ lopetan.
I work.	Teen t”it„.
I'm 19.	Min„ olen yhdeks„ntoista.
Inhale.	Hengit„ sis„„n.
Inhale.	Hengitt„k„„ sis„„n.
Listen.	Kuuntele.
Listen.	Kuunnelkaa.
No way!	Ei voi olla!
No way!	Mahdotonta!
No way!	Ei ikimaailmassa.
No way!	Ei ikimaailmassa!
No way!	Ehdottomasti ei!
No way!	Ehdoton ei!
No way!	Ei miss„„n nimess„!
No way!	Vain kuolleen ruumiini yli!
No way!	No h”p” h”p”.
No way!	Vissiin.
No way!	Just joo.
Really?	Ootko ihan tosissas?
Really?	Ihanko totta?
Really?	Oletko tosissasi?
Really?	Todellako?
Really?	Oots„ ihan tosissas?
Really?	Oikeesti?
Really?	Ihanko oikeesti?
Really?	Ihanks tosi?
Really?	Oikeasti?
Really?	Ihanks totta?
Really?	Oikeastiko?
Really?	Oikeestiko?
Really?	Ihan oikeesti vai?
Thanks!	Kiitos!
Thanks!	Kiitti!
Thanks!	Kiitoksia!
Thanks.	Kiitoksia.
Thanks.	Kiitokset.
Thanks.	Kiitti.
Thanks.	T„nks.
We try.	Me yrit„mme.
We try.	Yrit„mme.
We won.	Voitimme.
Why me?	Miksi min„?
Why me?	Miksi juuri min„?
Ask Tom.	Kysy Tomilta.
Ask Tom.	Kysyk„„ Tomilta.
Awesome!	Mahtavaa!
Be calm.	Ole rauhallinen.
Be cool.	Hiljaa hyv„ tulee.
Be fair.	Ole reilu.
Be kind.	Ole yst„v„llinen.
Be kind.	Olkaa kilttej„.
Be nice.	Ole kiltisti.
Beat it.	H„ivy!
Beat it.	Mene pois!
Beat it.	Ala kalppia!
Beat it.	L„he menee!
Beat it.	Ala painella!
Beat it.	L„he l„tkim„„n siit„.
Beat it.	Painu helvettii siit„!
Beat it.	Ala vet„„!
Beat it.	Painu vittuu siit„!
Beat it.	L„he vet„„!
Call me.	Soita minulle.
Call us.	Soita meille.
Come in.	Tule sis„„n.
Come in.	Tulkaa sis„„n.
Come on!	Lopeta jo!
Come on.	Annahan olla.
Come on.	Žl„ viitsi.
Come on.	Antakaahan olla.
Come on.	Žlk„„ viitsik”.
Drop it!	Pudota se!
Get Tom.	Hae Tommi.
Get Tom.	Hakekaa Tommi.
Get out!	H„ivy!
Get out!	Ulos t„„lt„!
Get out.	Ala vet„„.
Get out.	H„ivy!
Get out.	Mene pois!
Get out.	Ulos t„„lt„!
Get out.	Ulos!
Get out.	Mene ulos!
Get out.	Mene ulos.
Go away!	H„ivy!
Go away!	Mene pois!
Go away!	Ala jo painella!
Go away!	Ala kalppia!
Go away!	L„he menee!
Go away!	Ala painella!
Go away!	L„he l„tkim„„n siit„.
Go away!	L„he vet„„!
Go away.	H„ivy!
Go away.	Ala jo painella!
Go away.	L„he menee!
Go away.	Ala painella!
Goodbye!	Hyv„sti!
Goodbye!	N„kemiin!
Goodbye.	Hyv„sti!
Goodbye.	Hyv„sti.
Hang on!	Jaksa viel„!
Hang on!	Jaksakaa viel„!
Hang on.	Jaksa viel„.
Hang on.	Jaksakaa viel„.
He came.	H„n tuli.
He runs.	H„n juoksee.
Help me!	Auttakaa minua!
Help me!	Auta minua!
Help me.	Auta minua.
Help me.	Auttakaa minua.
Hi, Tom.	Hei, Tom.
Hold it!	Odota!
Hold on.	Odota.
Hold on.	Odottakaa.
I agree.	Olen samaa mielt„.
I cried.	Min„ itkin.
I cried.	Itkin.
I'm Tom.	Min„ olen Tom.
I'm Tom.	Olen Tom.
I'm Tom.	M„ oon Tomi.
I'm Tom.	M„ oon Tom.
I'm fit.	Olen hyv„ss„ kunnossa.
I'm old.	Olen vanha.
I'm old.	M„ oon vanha.
I'm old.	Min„ olen vanha.
I'm shy.	Olen ujo
I'm wet.	Olen m„rk„.
It's me!	Se olen min„!
It's me.	Se olen min„.
It's me.	Se olen min„!
Join us.	Liity meihin.
Join us.	Liittyk„„ meihin.
Keep it.	Pid„ se.
Kiss me.	Suutele minua.
Kiss me.	Suudelkaa minua.
Me, too.	Niin min„kin.
Open up.	Avaa.
Open up.	Avatkaa.
Perfect!	T„ydellist„!
Perfect!	T„ydellinen!
Perfect!	T„ydelliset!
See you!	N„kemiin!
See you!	N„hd„„n taas!
See you!	N„h„„n!
See you.	N„hd„„n taas.
See you.	N„hd„„n.
See you.	N„h„„n!
Show me.	N„yt„ minulle.
Shut up!	Suu kiinni!
Shut up!	Turpa kiinni!
Shut up!	Pid„ suusi kiinni!
Shut up!	Ole hiljaa!
Shut up!	P„„ kii!
Shut up!	P„„ kiinni!
Shut up!	Pid„ p„„s kii!
Shut up!	Pid„ p„„si kiinni!
Shut up!	Turpa tukkoon!
Shut up!	Turvat tukkoon!
Skip it.	Hypp„„ yli.
Skip it.	J„t„ se v„list„.
Skip it.	J„tt„k„„ se v„list„.
Skip it.	J„t„ se v„liin.
Stop it.	Lopeta.
Stop it.	Lopettakaa.
Stop it.	Lopeta se.
Stop it.	Lopettakaa se.
Stop it.	Pys„yt„ se.
Stop it.	Pys„ytt„k„„ se.
Take it.	Ota se.
Tell me.	Kerro minulle.
Tell me.	Kertokaa minulle.
Tom won.	Tom voitti.
Wake up!	Her„„!
Wake up!	Nouse yl”s!
Wake up.	Her„„!
Wash up.	Peseydy.
We know.	Tied„mme.
We know.	Me tiedet„„n.
Welcome.	Tervetuloa!
Welcome.	Tervetuloa.
Who won?	Kuka voitti?
Who won?	Ketk„ voittivat?
Why not?	Miksei?
Why not?	Miksei k„y?
Why not?	Mik„p„ ei.
Why not?	Miksip„ ei.
Why not?	Mik„ ettei.
Why not?	No miksip„ ei.
You run.	Sin„ juokset.
You run.	Juokset.
You run.	Juoksette.
You run.	Te juoksette.
You run.	Sin„ pakenet.
You run.	Pakenet.
You run.	Te pakenette.
You run.	Pakenette.
You won.	Voitit.
Am I fat?	Olenko min„ lihava?
Am I fat?	Oonks m„ l„ski?
Back off!	Per„„nny!
Back off!	Per„„ntyk„„!
Back off.	Per„„nny.
Back off.	Anna olla.
Be a man.	Ole mies.
Be quiet.	Ole hiljaa.
Be quiet.	Olkaa hiljaa.
Be still.	Ole aloillasi.
Be still.	Olkaa aloillanne.
Beats me.	En tied„.
Beats me.	M„ en tii„.
Beats me.	Emm„ tii„.
Call Tom.	Soita Tomille.
Cheer up!	Piristyh„n nyt!
Cheer up!	Hymy„ huuleen!
Cheer up.	Piristy!
Cool off!	Rauhoitu!
Cuff him.	Laita h„net rautoihin.
Cuff him.	Laittakaa h„net rautoihin.
Don't go.	Žl„ mene.
Drive on.	Aja eteenp„in.
Drive on.	Jatka ajamista.
Drive on.	Aja vaan.
Find Tom.	Etsi Tom.
Find Tom.	Etsik„„ Tom.
Fix this.	Korjaa t„m„.
Get away!	H„ivy!
Get away!	Mene pois!
Get away!	Ala kalppia!
Get down!	Maahan!
Get down.	Maahan.
Get down.	Mene maahan.
Get down.	Menk„„ maahan.
Get down.	Alas.
Get down.	Mene alas.
Get down.	Menk„„ alas.
Get down.	Laskeudu.
Get down.	Laskeutukaa.
Get down.	Tule alas.
Get down.	Tulkaa alas.
Get lost!	H„ivy!
Get lost!	Mene pois!
Get lost!	Ala kalppia!
Get lost!	Painu vittuu siit„!
Get lost.	H„ivy.
Get real!	J„rki k„teen!
Get real.	J„rki k„teen.
Go ahead!	Menk„„ eteenp„in.
Go ahead!	Ole hyv„ vain.
Go ahead.	Ole hyv„ vain.
Go there.	Mene tuonne.
Go there.	Menk„„ tuonne.
Go there.	Mene sinne.
Go there.	Menk„„ sinne.
Good job!	Hienosti tehty!
Good job!	Hyv„„ ty”t„!
Good job!	Hyvin tehty!
Good job!	Hienoa ty”t„!
Grab Tom.	Nappaa Tuomo.
Grab Tom.	Napatkaa Tuomo.
Grab Tom.	Tartu Tuomoon.
Grab Tom.	Tarttukaa Tuomoon.
Grab him.	Nappaa h„net.
Have fun.	Pid„ hauskaa!
Have fun.	Pid„ kivaa!
Have fun.	Pit„k„„ kivaa!
Have fun.	Pid„h„n hauskaa!
Have fun.	Pid„h„n kivaa!
Have fun.	Pit„k„„h„n kivaa!
Have fun.	Pit„k„„h„n hauskaa!
He spoke.	H„n puhui.
He tries.	H„n yritt„„.
Hi, guys.	Terve, tyypit.
Hi, guys.	Moi tyypit.
How cute!	Kuinka s”p”!
How cute!	Niin s”p”„!
How cute!	Kuinka s”p”„!
How cute!	Miten s”p”!
How cute!	Miten s”p”„!
How cute!	Onpa s”p”!
How cute!	Onpa s”p”„!
How cute!	Onpas s”p”!
How cute!	Onpas s”p”„!
How deep?	Kuinka syv„?
How deep?	Miten syv„?
How nice!	Miten kivaa!
How nice!	Kuinka kiltti„!
How nice!	Miten kiltti„!
How rude!	T”yke„„!
Humor me.	Minun mielikseni.
Hurry up.	Pid„ kiirett„.
I am Tom.	Min„ olen Tom.
I am Tom.	Olen Tom.
I am old.	Olen vanha.
I am old.	Min„ olen vanha.
I can go.	Min„ voin menn„.
I concur.	Olen samaa mielt„.
I jumped.	Hypp„sin.
I phoned.	Soitin.
I resign.	Eroan.
I stayed.	Min„ j„in.
I waited.	Min„ odotin.
I'll pay.	Min„ hoidan laskun.
I'll pay.	Min„ tarjoan.
I'll pay.	Min„ maksan.
I'm bald.	Olen kalju.
I'm bald.	Min„ olen kalju.
I'm busy.	Minulla on kiire.
I'm cold.	Minulla on kylm„.
I'm cool.	M„ oon khuuli.
I'm cool.	M„ oon siisti tyyppi.
I'm cool.	M„ oon cool.
I'm done.	Olen valmis.
I'm done.	Minulle riitti.
I'm fair.	Olen reilu.
I'm fair.	Olen oikeudenmukainen.
I'm fair.	Olen tasapuolinen.
I'm fair.	Olen puolueeton.
I'm free!	Olen vapaa.
I'm free.	Olen vapaa mies.
I'm free.	Minulla on vapaata.
I'm free.	Olen vapaa.
I'm free.	Olen vapaa nainen.
I'm free.	Minulla ei ole tekemist„.
I'm free.	Minulla on aikaa.
I'm free.	Olen vapaana.
I'm full.	Olen t„ynn„.
I'm home.	Kotona ollaan!
I'm home.	Hei, tulin kotiin!
I'm home.	Min„ olen kotona.
I'm late.	Olen my”h„ss„.
I'm lazy.	Olen laiska.
I'm lazy.	M„ oon laiska.
I'm lost.	Olen eksyksiss„.
I'm lost.	Olen eksynyt.
I'm next.	Olen seuraava.
I'm poor.	Olen k”yh„.
I'm sick.	Olen kipe„.
I'm sure.	Olen varma.
I'm tall.	Olen pitk„.
I'm thin.	Olen laiha.
I'm thin.	M„ oon laiha.
I'm ugly.	Olen ruma.
I'm warm.	Minulla on l„mmin.
It helps.	Se auttaa.
It hurts.	Se sattuu.
It works.	Se toimii.
It's new.	Se on uusi.
It's sad.	Se on surullista.
Keep out!	Pysy poissa!
Keep out!	Pysyk„„ poissa!
Keep out.	Pysy poissa.
Keep out.	Pysyk„„ poissa.
Kiss Tom.	Suutele Tomia.
Kiss Tom.	Suudelkaa Tomia.
Leave it.	Anna olla.
Leave me.	J„t„ minut.
Leave us.	J„t„ meid„t.
Leave us.	J„tt„k„„ meid„t.
Let's go!	Menn„„n!
Look out!	Varo!
Marry me.	Menn„„n naimisiin.
May I go?	Voinko menn„?
Save Tom.	Pelasta Tom.
She came.	H„n tuli.
She died.	H„n kuoli.
She runs.	H„n juoksee.
Sit down!	Istu alas!
Sit down.	Istu alas.
Sit here.	Istu t„ss„.
Sit here.	Istu t„h„n.
Sit here.	Istukaa t„ss„.
Sit here.	Istukaa t„h„n.
Speak up!	Puhu kovempaa!
Speed up.	Vauhtia.
Speed up.	Aja lujempaa.
Stand up!	Nouse yl”s.
Stand up!	Nouse seisomaan.
Stand up!	Nouskaa yl”s.
Stand up!	Nouskaa seisomaan.
Stand up.	Nouse yl”s.
Stand up.	Nouskaa yl”s.
Stay put.	Pysy paikallasi.
Stay put.	Pysyk„„ paikallanne.
Stop Tom.	Pys„yt„ Tom.
Stop Tom.	Pys„ytt„k„„ Tom.
Take Tom.	Nappaa Tom.
Take Tom.	Ota Tom.
Take Tom.	Ottakaa Tom.
Take Tom.	Napatkaa Tom.
Taste it.	Maista.
Taste it.	Maista sit„.
Tell Tom.	Kerro Tomille.
Terrific!	Mahtavaa!
Terrific!	Mielet”nt„!
Terrific!	Upeaa!
Terrific!	Upeeta!
They won.	He voittivat.
Tom died.	Tom kuoli.
Tom died.	Tomi kuoli.
Tom fell.	Tom putosi.
Tom knew.	Tomi tiesi sen.
Tom knew.	Tommi tiesi.
Tom left.	Tomi l„hti.
Tom lies.	Tom valehtelee.
Tom lost.	Tom h„visi.
Tom lost.	Tomi h„visi.
Tom quit.	Tomi luovutti.
Tom quit.	Tomi lopetti.
Tom wept.	Tom itki.
Tom's up.	Tomi on ylh„„ll„.
Tom's up.	Tomi on pystyss„.
Too late.	Liian my”h„„n.
Too late.	Liian my”h„ist„.
Trust me!	Luota minuun!
Trust me.	Luota minuun.
Try hard.	Yrit„ kovasti.
Try hard.	Yritt„k„„ kovasti.
Try some.	Maista.
Try some.	Maistakaa.
Try this.	Koita t„t„.
Use this.	K„yt„ t„t„.
Warn Tom.	Varoita Tomia.
Warn Tom.	Varoittakaa Tomia.
Watch me.	Katso minua.
Watch me.	Pystynp„s.
Watch me.	Katsokaa minua.
Watch me.	Vahdi minua.
Watch me.	Vahtikaa minua.
Watch us.	Katso meit„.
Watch us.	Katsokaa meit„.
Watch us.	Vahdi meit„.
Watch us.	Vahtikaa meit„.
Watch us.	Pystymmep„s.
We agree.	Olemme samaa mielt„.
We agree.	Olemme yht„ mielt„.
We agree.	Me olemme samaa mielt„.
What for?	Mink„ takia?
What fun!	Miten kivaa!
Who am I?	Kuka min„ olen?
Who am I?	Kuka m„„ oon?
Who came?	Kuka tuli?
Who died?	Kuka kuoli?
Who died?	Ketk„ kuolivat?
Who fell?	Kuka putosi?
Who quit?	Kuka lopetti?
Who swam?	Kuka ui?
Who swam?	Kuka k„vi uimassa?
Who's he?	Kuka h„n on?
Write me.	Kirjoita minulle.
Write me.	Kirjoittakaa minulle.
After you.	Sinun j„lkeesi.
After you.	Teid„n j„lkeenne.
Aim. Fire!	T„ht„„. Ammu!
Aim. Fire!	T„ht„„. Tulta!
Am I next?	Olenko min„ seuraava?
Answer me.	Vastaa minulle.
Bless you.	Terveydeksi.
Bless you.	Terveydeksi, vaan ei tavaksi.
Call home!	Soita kotiin!
Calm down!	Rauhoitu!
Calm down!	Rauhoittukaa!
Calm down.	Rauhoitu!
Calm down.	Ota rauhallisesti.
Calm down.	Rauhoitu.
Calm down.	Rauhoittukaa.
Calm down.	Rauhoituhan nyt.
Calm down.	Rauhoitu hyv„ ihminen!
Calm down.	Rauhallisesti nyt.
Calm down.	Otapa ihan rauhallisesti.
Calm down.	Rauhoittukaa!
Catch Tom.	Nappaa Tom.
Catch him.	Nappaa h„net.
Catch him.	Napatkaa h„net.
Catch him.	Ottakaa h„net kiinni.
Catch him.	Ota h„net kiinni.
Clear out.	H„ipyk„„.
Clear out.	Kaikki ulos.
Come back.	Tule takaisin!
Come back.	Tulkaa takaisin!
Come back.	Palaa takaisin!
Come back.	Palatkaa takaisin!
Come here.	Tule t„nne.
Come home.	Tule kotiin.
Come over.	Tule t„nne.
Come over.	Tulkaa t„nne.
Come over.	Tule k„ym„„n.
Come over.	Tulkaa k„ym„„n.
Come soon.	Tule pian.
Come soon.	Tulkaa pian.
Cool down.	Rauhoitu.
Do it now.	Tee se nyt.
Do it now.	Tee se heti.
Dogs bark.	Koirat haukkuvat.
Don't ask.	Žl„ kysy!
Don't die.	Žlk„„ kuolko.
Don't lie.	Žl„ valehtele.
Don't lie.	Žl„ valehtele!
Don't lie.	Žl„ puhu palturia.
Don't lie.	Žl„ sy”t„ mulle pajunk”ytt„.
Don't lie.	Žl„ sy”t„ minulle pajunk”ytt„.
Don't run.	Žl„ juokse.
Excuse me.	Anteeksi.
Excuse me.	Anteeksi, ett„ h„iritsen.
Excuse me.	Anteeksi, saanko h„irit„.
Excuse me?	Anteeksi kuinka?
Fantastic!	Hienoa!
Fantastic!	Fantastista!
Follow me.	Seuratkaa minua.
Follow me.	Seuraa minua.
Follow us.	Seuratkaa meit„.
Follow us.	Seuraa meit„.
Forget it!	Unohda se!
Forget me.	Unohda minut.
Get ready.	Valmistaudu.
Go faster.	Aja lujempaa.
Go faster.	Mene lujempaa!
Go inside.	Mene sis„lle.
Go inside.	Mene sis„„n.
Go to bed.	Mene s„nkyyn!
Go to bed.	Nukkumaan siit„!
Go to bed.	Mene nukkumaan!
Good luck.	Onnea matkaan.
Good luck.	Onnea.
Goodnight.	Hyv„„ y”t„.
Grab that.	Nappaa tuo.
Grab that.	Napatkaa tuo.
Grab that.	Ota tuo kiinni.
Grab that.	Ottakaa tuo kiinni.
Grab that.	Ota tuosta kiinni.
Grab that.	Ottakaa tuosta kiinni.
Grab this.	Nappaa t„m„.
Grab this.	Napatkaa t„m„.
Grab this.	Ota t„st„ kiinni.
Grab this.	Ottakaa t„st„ kiinni.
Grab this.	Ottakaa t„m„ kiinni.
Grab this.	Ota t„m„ kiinni.
Hands off.	K„p„l„t irti!
Hands off.	Žlk„„ koskeko.
He is ill.	H„n on sairas.
He is ill.	H„n on kipe„.
He is ill.	H„n on kipe„n„.
He is ill.	H„n on sairaana.
He is old.	H„n on vanha.
He shaved.	H„n ajoi partansa.
He smiled.	H„n hymyili.
He's a DJ.	H„n on DJ.
He's a DJ.	H„n on tiskijukka.
He's busy.	H„nell„ on kiire.
He's busy.	H„nell„ on tekemist„.
He's lazy.	H„n on laiska.
Hold this.	Pid„ t„t„.
How awful!	Miten kauheaa!
How's Tom?	Mit„ Tomille kuuluu?
I am full.	Olen t„ysi.
I am full.	Olen t„ynn„.
I am sure.	Olen varma.
I am tall.	Olen pitk„.
I can ski.	Osaan lasketella.
I can ski.	Osaan hiiht„„.
I cringed.	S„ps„hdin.
I fainted.	Py”rryin.
I gave up.	Annoin periksi.
I gave up.	Luovutin.
I give in.	Annan periksi.
I give up.	Annan periksi.
I give up.	Luovutan.
I got cut.	Sain viillon.
I got hit.	Minuun osui.
I got wet.	Kastuin.
I had fun.	Minulla oli hauskaa.
I had fun.	Minulla oli kivaa.
I have it.	Minulla on se.
I knew it.	Tiesin sen.
I knew it.	Min„ tiesin sen.
I laughed.	Nauroin.
I like it.	Min„ pid„n siit„.
I mean it!	Tarkoitan sit„ tosissani.
I mean it.	Olen tosissani.
I mean it.	Tarkoitan sit„ tosissani.
I must go.	Minun t„ytyy menn„.
I must go.	Minun pit„„ menn„.
I must go.	Minun t„ytyy l„hte„.
I must go.	Minun pit„„ l„hte„.
I said no.	Sanoin ei.
I saw him.	Tapasin h„net.
I saw him.	N„in h„net.
I saw one.	N„in yhden.
I tripped.	Kompastuin.
I want it.	Haluan sen.
I will go.	Min„ menen.
I woke up.	Her„sin.
I woke up.	Min„ her„sin.
I'd agree.	Olen samaa mielt„.
I'd agree.	Olisin samaa mielt„.
I'll call.	Min„ soitan.
I'll help.	Min„ autan.
I'll lose.	Min„ h„vi„n.
I'll lose.	Min„ tulen h„vi„m„„n.
I'll pass.	J„t„n v„liin.
I'll pass.	Min„ passaan.
I'll pass.	Min„ sy”t„n.
I'll pass.	Min„ p„„sen l„pi.
I'll sing.	Min„ laulan.
I'll stay.	Min„ j„„n.
I'll wait.	Min„ odotan.
I'm a boy.	Olen poika.
I'm a cop.	Olen poliisi.
I'm a cop.	Min„ olen poliisi.
I'm a cop.	M„ oon kytt„.
I'm a kid.	Olen lapsi.
I'm a man.	Min„ olen mies.
I'm a man.	Olen mies.
I'm alone.	Min„ olen yksin.
I'm angry.	Olen vihainen.
I'm angry.	Min„ olen vihainen.
I'm awake.	Olen hereill„.
I'm blind.	Olen sokea.
I'm bored.	Minulla on tyls„„.
I'm broke.	Rahani ovat lopussa.
I'm broke.	Minulla ei ole rahaa.
I'm broke.	Olen ihan auki.
I'm broke.	Olen peeaa.
I'm broke.	Olen t„ysin rahaton.
I'm broke.	Olen t„ysin persaukinen.
I'm broke.	Minulla ei ole yht„„n rahaa.
I'm broke.	Olen t„ysin auki.
I'm broke.	Minulla on matti kukkarossa.
I'm broke.	Minulla ei ole pennin hyrr„„.
I'm broke.	Minulla ei ole latin latia.
I'm clean.	Min„ olen puhdas.
I'm dizzy.	Minua huippaa.
I'm dizzy.	Minua heikottaa.
I'm dizzy.	Minulla heitt„„ p„„st„.
I'm dizzy.	Minua huimaa.
I'm drunk.	Olen humalassa.
I'm drunk.	Olen k„nniss„.
I'm drunk.	Olen juovuksissa.
I'm dying.	Teen kuolemaa.
I'm going.	Min„ menen.
I'm going.	Menen.
I'm going.	Min„ olen menossa.
I'm going.	Olen menossa.
I'm happy.	Olen onnellinen.
I'm lucky.	Olen onnekas.
I'm obese.	Olen ylipainoinen.
I'm ready.	Olen valmis.
I'm ready.	M„ oon valmis.
I'm smart.	Olen „lyk„s.
I'm sorry.	Anteeksi.
I'm sorry.	Olen pahoillani.
I'm sorry.	Min„ olen pahoillani.
I'm tired.	Minua v„sytt„„.
I'm tired.	Mua v„sytt„„!
I'm tired.	V„sytt„„!
I'm tired.	Min„ olen v„synyt!
I'm yours.	Olen sinun.
Is it bad?	Onko se vakavaa?
Is it far?	Onko se kaukana?
It failed.	Se ep„onnistui.
It poured.	Satoi kaatamalla.
It rained.	Satoi.
It rained.	Satoi vett„.
It snowed.	Satoi lunta.
It snowed.	Lunta satoi.
It stinks.	Se haisee pahalle!
It stinks.	Se l”yhk„„.
It worked.	Se toimi.
It's 7:45.	Kello on 7:45.
It's 7:45.	Kello on 7.45.
It's 9:15.	Kello on viisitoista yli yhdeks„n.
It's a TV.	Se on televisio.
It's a TV.	Se on TV.
It's cold.	On kylm„.
It's cold.	Se on kylm„.
It's easy.	Se on helppoa.
It's free.	Se on ilmaista.
It's free.	Se on vapaa.
It's good.	Se on hyv„.
It's hard.	Se on vaikeaa.
It's hard.	Se on vaikeata.
It's lost.	Se on kadonnut.
It's lost.	Se on kahdoksissa.
It's time.	On aika.
It's true!	Se on totta!
Jump down.	Hypp„„ alas!
Jump down.	Hyp„tk„„ alas!
Keep calm.	Pysy rauhallisena.
Keep calm.	Pysyk„„ rauhallisena.
Keep down.	Pysy matalana.
Keep that.	Pid„ se.
Keep them.	Pid„ ne.
Keep them.	Pid„ hyv„n„si.
Keep this.	Pid„ t„m„.
Keep warm.	Pysy l„mpim„n„.
Leave now!	L„hde nyt!
Leave now!	L„htek„„ nyt!
Leave now.	L„hde nyt.
Let me in.	P„„st„ minut sis„„n.
Let us in.	P„„st„ meid„t sis„„n.
Let's eat.	Sy”d„„n.
Let's see.	Katsotaanpa.
Let's try.	Yritet„„n.
Let's try.	Kokeillaan.
Lie still.	Makaa aloillasi.
Listen up.	Kuuntele tarkkaan.
Look away.	Katso muualle.
Look back!	Muistele!
Look back.	Katso taaksesi.
Move over.	Siirry.
Nice shot!	Hieno laukaus!
Nice shot!	Hieno ly”nti!
Nice shot!	Hieno potku!
Of course!	Tietysti!
Of course!	Totta kai!
Of course!	Kaikin mokomin!
Of course!	No tietty!
Of course.	Tietysti!
Of course.	Totta kai.
Open fire!	Avatkaa tuli!
Pardon me?	Anteeksi kuinka?
Read this.	Lukekaa t„m„.
Read this.	Lue t„m„.
Search me.	En tied„.
Search me.	En m„ tied„.
See below.	Katso alla.
Seriously?	Oikeesti?
Seriously?	Oikeasti?
She cried.	H„n itki.
She tried.	H„n yritti.
She walks.	Se k„velee.
Sign here.	Allekirjoita t„h„n.
Sign this.	Allekirjoita t„m„.
Sign this.	Allekirjoittakaa t„m„.
Sit still.	Istu paikallasi.
Sit tight.	Odota k„rsiv„llisesti.
Start now.	Aloita nyt.
Start now.	Aloittakaa nyt.
Stay away.	Pysy poissa.
Stay away.	Pysyk„„ poissa.
Stay back.	Pysy poissa.
Stay back.	Pysyk„„ poissa.
Stay calm.	J„it„ hattuun.
Stay calm.	Rauhallisesti nyt.
Stay calm.	Pysy rauhallisena.
Stay calm.	Pysyk„„ rauhallisina.
Stay calm.	Pysyk„„ rauhallisena.
Stay cool.	Pysy rauhallisena.
Stay cool.	Pysyk„„ rauhallisina.
Stay cool.	Pysy coolina.
Stay cool.	Pysyk„„ cooleina.
Stay down!	Pysy matalana!
Stay down!	Pysyk„„ matalana!
Stay down.	Pysy matalana.
Stay down.	Pysyk„„ matalana.
Stay here.	Pysy t„„ll„.
Stay here.	J„„ t„nne.
Stay here.	J„„k„„ t„nne.
Stay here.	Pysyk„„ t„„ll„.
Stay home.	Pysy kotona.
Stay home.	Pysyk„„ kotona.
Stay thin.	Žl„ liho.
Stay thin.	Pysy hoikkana.
Step back.	Per„„nny.
Step back.	Anna tilaa.
Stop here.	Pys„hdy t„ss„.
Stop here.	Pys„hdy t„h„n.
